"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
14322,7387844653.98124,7194679336.60791,1992,FALSE,1,"11400","NPL","Himalaya","NPL",0.973853630331922
14322,7387844653.98124,6776006.37827694,2016,FALSE,1,"11400","NPL","Himalaya","NPL",0.000917183115731247
14323,167658099.857985,91818.7082914566,1973,FALSE,1,"11400","NPL","Himalaya","NPL",0.000547654472818384
14323,167658099.857985,3294.3406468961,1984,FALSE,1,"11400","NPL","Himalaya","NPL",1.96491589114191e-05
14323,167658099.857985,61154356.1453302,1996,FALSE,1,"11400","NPL","Himalaya","NPL",0.364756347573611
14324,1486046331.05149,896458063.919968,1976,FALSE,1,"11400","NPL","Himalaya","NPL",0.603250413656793
14324,1486046331.05149,501297245.534562,1996,FALSE,1,"11400","NPL","Himalaya","NPL",0.337336215607664
14324,1486046331.05149,22605215.5354423,2010,FALSE,2,"11400","NPL","Himalaya","NPL",0.0152116492353556
14325,1880533583.2306,1173697497.31103,1973,FALSE,1,"11400","NPL","Himalaya","NPL",0.624130038291961
14325,1880533583.2306,12261225.6055027,1984,FALSE,2,"11400","NPL","Himalaya","NPL",0.00652007797937803
14325,1880533583.2306,NA,1996,FALSE,1,"11400","NPL","Himalaya","NPL",NA
14326,1655244358.38198,131987295.650838,2010,FALSE,2,"11400","NPL","Himalaya","NPL",0.0797388584848321
14327,821700835.324686,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
14328,1193175633.01974,1126992740.05984,1987,FALSE,1,"11400","NPL","Himalaya","NPL",0.944532145035176
14329,10921150.4298553,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
14331,2037118861.19135,2037103168.94136,1998,FALSE,1,"11400","NPL","Himalaya","NPL",0.999992296841244
14332,477589927.633231,207709051.794005,1984,FALSE,1,"11400","NPL","Himalaya","NPL",0.434910871808665
14332,477589927.633231,233947066.221725,2006,FALSE,1,"11400","NPL","Himalaya","NPL",0.489849246572442
14333,321904460.602462,149355058.695847,1976,FALSE,1,"11400","NPL","Himalaya","NPL",0.463973249753423
14333,321904460.602462,12445510.4009665,1987,FALSE,1,"11400","NPL","Himalaya","NPL",0.0386621247113943
14333,321904460.602462,138504403.70347,2004,FALSE,1,"11400","NPL","Himalaya","NPL",0.430265562161677
14334,2127558697.11904,1643699915.66471,1976,FALSE,1,"11400","NPL","Himalaya","NPL",0.772575589989818
14334,2127558697.11904,409382153.155987,1998,FALSE,1,"11400","NPL","Himalaya","NPL",0.192418735008504
14334,2127558697.11904,37904.5147201717,2010,FALSE,1,"11400","NPL","Himalaya","NPL",1.78159666153976e-05
14337,808473356.543541,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
14338,2168786150.84946,10785330.5070806,1976,FALSE,1,"11400","NPL","Himalaya","NPL",0.00497298016351508
14338,2168786150.84946,21995.1409854626,1979,FALSE,1,"11400","NPL","Himalaya","NPL",1.01416826997201e-05
14338,2168786150.84946,1385686449.10799,1991,FALSE,1,"11400","NPL","Himalaya","NPL",0.638922582830607
14338,2168786150.84946,711401768.679429,1999,FALSE,1,"11400","NPL","Himalaya","NPL",0.328018402552409
14338,2168786150.84946,8722477.74154965,2002,FALSE,1,"11400","NPL","Himalaya","NPL",0.00402182471431462
14339,855375809.699403,7373776.73692564,1973,FALSE,1,"11400","NPL","Himalaya","NPL",0.00862051118737732
14339,855375809.699403,537884427.602339,1984,FALSE,2,"11400","NPL","Himalaya","NPL",0.628828196335553
14339,855375809.699403,5853905.96160311,1996,FALSE,1,"11400","NPL","Himalaya","NPL",0.00684366555053771
14339,855375809.699403,277507266.643416,2005,FALSE,1,"11400","NPL","Himalaya","NPL",0.324427302592223
14340,42820598.0407782,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
14341,304795996.333577,106744358.279082,1976,FALSE,1,"11400","NPL","Himalaya","NPL",0.350215749429525
14341,304795996.333577,176252821.815902,2006,FALSE,1,"11400","NPL","Himalaya","NPL",0.57826488515619
14342,1476897980.64288,1112737265.04206,1976,FALSE,1,"11400","NPL","Himalaya","NPL",0.753428659004393
14342,1476897980.64288,15218369.7262949,1979,FALSE,1,"11400","NPL","Himalaya","NPL",0.0103042795953113
14342,1476897980.64288,6854306.11520789,1991,FALSE,1,"11400","NPL","Himalaya","NPL",0.0046410152935711
14342,1476897980.64288,300581687.853375,2002,FALSE,1,"11400","NPL","Himalaya","NPL",0.203522309457377
14342,1476897980.64288,1431614.09190703,2010,FALSE,1,"11400","NPL","Himalaya","NPL",0.000969338512660066
14343,4909811532.69846,3582132315.89154,1984,FALSE,1,"11400","NPL","Himalaya","NPL",0.729586521200495
14343,4909811532.69846,1189120074.01392,1998,FALSE,1,"11400","NPL","Himalaya","NPL",0.242192610876119
14344,107410372.748117,80470926.7511197,1985,FALSE,1,"11400","NPL","Himalaya","NPL",0.749191392714261
14345,684063486.301046,381098016.672314,1976,FALSE,1,"11400","NPL","Himalaya","NPL",0.557109134318855
14345,684063486.301046,253297133.384789,2004,FALSE,1,"11400","NPL","Himalaya","NPL",0.370283078189787
14346,1334426981.84439,124082.560656786,1998,FALSE,1,"11400","NPL","Himalaya","NPL",9.29856502791067e-05
18501,58802120.0558679,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
18502,894013.600751705,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
18503,27760867.0406721,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
27114,103514831.819983,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
27317,87242392.3602082,0,0,FALSE,0,"11400","NPL","Himalaya","NPL",0
